ID,Start time,Completion time,Language,Universidad,Grado,Curso,Edad,Sexo,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,RNPQ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,HC_PAIRS
76,2/13/24 10:04:52,2/13/24 10:10:29,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Medicina,Último curso,23,Mujer,1,0,1,1,1,1,1,1,0,0,1,0,8,3,3,2,6,5,3,5,3,5,6,4,3,5,5,3,17
77,2/13/24 10:07:20,2/13/24 10:12:41,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Medicina,Primer curso,18,Mujer,0,0,1,0,0,0,0,1,1,0,1,1,5,4,6,5,4,2,4,5,6,7,6,4,2,4,5,2,30
78,2/13/24 10:38:34,2/13/24 10:45:04,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,18,Hombre,0,0,1,0,0,0,1,1,0,1,1,1,6,5,6,7,3,3,2,6,7,7,4,3,3,4,5,5,70
79,2/13/24 10:37:34,2/13/24 10:45:32,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,21,Mujer,1,0,0,1,1,1,0,1,0,0,1,0,6,1,7,7,6,5,7,6,7,7,7,4,4,7,6,2,79
80,2/13/24 10:48:49,2/13/24 10:55:03,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,39,Mujer,1,0,1,1,1,0,1,1,0,1,1,0,8,2,1,1,7,1,2,4,7,6,5,2,2,5,6,5,60
81,2/13/24 11:07:10,2/13/24 11:13:26,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,23,Hombre,0,0,1,0,0,1,1,1,0,1,1,0,6,3,3,4,3,1,1,2,7,5,5,1,2,7,6,6,60
82,2/13/24 11:11:43,2/13/24 11:16:57,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,18,Mujer,0,0,1,1,1,0,0,1,0,1,1,1,7,4,4,4,3,5,3,3,5,5,6,3,3,4,3,3,62
83,2/13/24 11:15:33,2/13/24 11:23:07,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Medicina,Último curso,23,Mujer,0,0,1,0,1,0,1,1,0,1,1,0,6,5,3,3,6,2,1,4,2,7,4,1,2,3,6,1,29
84,2/13/24 11:14:55,2/13/24 11:23:18,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,19,Mujer,0,0,1,1,1,0,1,1,1,1,1,1,9,4,3,5,7,4,5,4,4,3,6,4,4,6,5,2,62
85,2/13/24 11:17:34,2/13/24 11:26:51,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,49,Hombre,0,0,1,1,1,1,1,1,0,1,1,1,9,4,5,3,5,7,4,4,1,7,6,5,1,3,6,2,59
